bookmarkable_id,bookmarkable_type,link,name,created_at,updated_at,reminder_at,reminder_last_sent_at,reminder_set_at,auto_delete_preference
27142,Post,https://forums.getdrafts.com/t/anyone-know-of-a-ios-shortcut-to-send-youtube-app-link-title-to-draft/9753/1,"",2021-02-15 11:15:37 UTC,2021-02-15 11:15:37 UTC,,,2021-02-15 11:15:37 UTC,never
108,Post,https://forums.getdrafts.com/t/using-bear-with-drafts/79/1,"",2021-04-01 13:17:49 UTC,2021-04-01 13:17:49 UTC,,,2021-04-01 13:17:49 UTC,never
23622,Post,https://forums.getdrafts.com/t/tip-markdown-vs-multimarkdown-vs-github-markdown-etc/8674/1,"",2021-04-01 14:27:33 UTC,2021-04-02 21:29:50 UTC,,,2021-04-02 21:29:50 UTC,never
23125,Post,https://forums.getdrafts.com/t/does-keyboard-shortcuts-cheatsheet-exists/8503/11,,2021-04-02 21:38:00 UTC,2021-04-02 21:38:00 UTC,,,2021-04-02 21:38:00 UTC,never
23126,Post,https://forums.getdrafts.com/t/does-keyboard-shortcuts-cheatsheet-exists/8503/12,,2021-04-02 22:02:45 UTC,2021-04-02 22:02:45 UTC,,,2021-04-02 22:02:45 UTC,never
28239,Post,https://forums.getdrafts.com/t/does-keyboard-shortcuts-cheatsheet-exists/8503/14,,2021-04-03 09:07:45 UTC,2021-04-03 09:07:45 UTC,,,2021-04-03 09:07:45 UTC,never
28236,Post,https://forums.getdrafts.com/t/does-keyboard-shortcuts-cheatsheet-exists/8503/13,,2021-04-03 19:57:50 UTC,2021-04-03 19:57:50 UTC,,,2021-04-03 19:57:50 UTC,never
28249,Post,https://forums.getdrafts.com/t/does-keyboard-shortcuts-cheatsheet-exists/8503/16,"",2021-04-04 16:27:17 UTC,2021-04-04 16:27:17 UTC,,,2021-04-04 16:27:17 UTC,never
4805,Post,https://forums.getdrafts.com/t/bear-save-complete-web-page-equivalent/1815/1,"",2021-04-04 17:02:00 UTC,2021-04-04 17:02:00 UTC,,,2021-04-04 17:02:00 UTC,never
22292,Post,https://forums.getdrafts.com/t/parsing-urls-to-replace-them-with-md-style-links/8313/1,"",2021-04-13 00:05:46 UTC,2021-04-13 00:05:46 UTC,,,2021-04-13 00:05:46 UTC,never
28436,Post,https://forums.getdrafts.com/t/theme-builder-tool/10193/1,"",2021-04-13 00:35:17 UTC,2021-04-13 00:35:17 UTC,,,2021-04-13 00:35:17 UTC,never
124,Post,https://forums.getdrafts.com/t/bear-script-api/87/1,"",2021-04-13 11:15:14 UTC,2021-04-13 11:15:14 UTC,,,2021-04-13 11:15:14 UTC,never
